Dataset,BatchSize,Threat,Source Model,Attack,standard TSR(FR),standard S_APR,standard S_total,standard median_norm,standard Optimality,zhang_2020_small TSR(FR),zhang_2020_small S_APR,zhang_2020_small S_total,zhang_2020_small median_norm,zhang_2020_small Optimality,stutz_2020 TSR(FR),stutz_2020 S_APR,stutz_2020 S_total,stutz_2020 median_norm,stutz_2020 Optimality,xiao_2020 TSR(FR),xiao_2020 S_APR,xiao_2020 S_total,xiao_2020 median_norm,xiao_2020 Optimality,wang_2023_small TSR(FR),wang_2023_small S_APR,wang_2023_small S_total,wang_2023_small median_norm,wang_2023_small Optimality,per-time,Average transfer optimality
cifar10,128,l0,standard,original_pgd0_minimal,100.0(0.09190926259919209),0.0618,6.18,18.0,1.0,95.7(0.4867500999399361),0.0047,0.45,0.0,1.0,99.4(0.13392000524390715),0.0121,1.21,150.0,1.0,100.0(0.28725329619552037),0.0035,0.35,384.0,1.0,90.6(0.1559389329542294),0.0095,0.86,246.0,1.0,1.994,1.0
cifar10,128,l0,zhang_2020_small,original_pgd0_minimal,99.9(0.09248705910544353),0.0052,0.51,300.0,1.0,100.0(0.49087802420750504),0.0587,5.87,0.0,1.0,100.0(0.1310915872532526),0.0117,1.17,132.0,1.0,99.0(0.28848465217291125),0.004,0.4,300.0,1.0,90.6(0.1562105492286316),0.0045,0.4,354.0,1.0,0.231,1.0
cifar10,128,l0,stutz_2020,original_pgd0_minimal,100.0(0.0919921294465782),0.0043,0.43,438.0,1.0,93.2(0.48412768004019274),0.004,0.37,0.0,1.0,100.0(0.1310915872532526),0.0829,8.29,12.0,1.0,99.9(0.2874223715095104),0.0027,0.27,450.0,1.0,91.3(0.15361485882648726),0.003,0.27,594.0,1.0,0.468,1.0
cifar10,128,l0,xiao_2020,original_pgd0_minimal,100.0(0.09190926259919209),0.0061,0.61,306.0,1.0,100.0(0.49085033445356946),0.0044,0.44,0.0,1.0,100.0(0.1310915872532526),0.0058,0.58,336.0,1.0,100.0(0.28725329619552037),0.0489,4.89,12.0,1.0,100.0(0.11194518766881803),0.0045,0.45,414.0,1.0,0.531,1.0
cifar10,128,l0,wang_2023_small,original_pgd0_minimal,100.0(0.09190926259919209),0.015,1.5,96.0,1.0,99.2(0.49015956848496234),0.0051,0.5,0.0,1.0,100.0(0.1310915872532526),0.0138,1.38,102.0,1.0,100.0(0.28725329619552037),0.0093,0.93,96.0,1.0,100.0(0.11194518766881803),0.0324,3.24,54.0,1.0,2.727,1.0
cifar10,128,l0,ensemble,original_pgd0_HORNET,100.0(0.09190926259919209),0.0169,1.69,96.0,1.0,100.0(0.49087802420750504),0.0081,0.81,0.0,1.0,100.0(0.1310915872532526),0.0233,2.33,66.0,1.0,100.0(0.28725329619552037),0.0114,1.14,87.0,1.0,100.0(0.11194518766881803),0.0103,1.03,198.0,1.0,9.971,1.0
