Dataset,BatchSize,Threat,Source Model,Attack,standard TSR(FR),standard S_APR,standard S_total,standard median_norm,standard Optimality,zhang_2020_small TSR(FR),zhang_2020_small S_APR,zhang_2020_small S_total,zhang_2020_small median_norm,zhang_2020_small Optimality,stutz_2020 TSR(FR),stutz_2020 S_APR,stutz_2020 S_total,stutz_2020 median_norm,stutz_2020 Optimality,xiao_2020 TSR(FR),xiao_2020 S_APR,xiao_2020 S_total,xiao_2020 median_norm,xiao_2020 Optimality,wang_2023_small TSR(FR),wang_2023_small S_APR,wang_2023_small S_total,wang_2023_small median_norm,wang_2023_small Optimality,per-time,Average transfer optimality
cifar10,128,l2,zhang_2020_small,ch_pgd_l2_minimal,100.0(0.09182025822469204),0.0189,1.89,4.024,0.92,100.0(0.49087802420750504),1.0387,103.87,0.0,0.866,100.0(0.1310915872532526),0.0862,8.62,0.964,0.906,99.2(0.285392103286949),0.224,22.22,6.746,0.842,93.0(0.1470972343213951),0.0108,1.0,8.601,0.935,0.032,0.901
cifar10,128,l2,zhang_2020_small,adv_lib_apgd_l2_minimal,99.7(0.09418706605992255),0.0142,1.42,6.435,0.795,100.0(0.49087802420750504),1.2744,127.44,0.0,0.82,100.0(0.1310915872532526),0.0772,7.72,1.137,0.816,99.8(0.28472563300958725),0.0795,7.93,4.022,0.881,96.3(0.13222840119873994),0.0081,0.78,11.556,0.881,0.126,0.843
cifar10,128,l2,zhang_2020_small,fb_pgd_l2_minimal,97.7(0.10803467888012663),0.0447,4.36,5.272,0.917,100.0(0.49087802420750504),1.157,115.7,0.0,0.934,100.0(0.1310915872532526),0.0825,8.25,1.07,0.872,67.2(0.296635402119938),0.1929,12.95,3.635,0.679,65.8(0.20625843846990902),0.0147,0.97,7.205,0.698,0.04,0.792
cifar10,128,l2,zhang_2020_small,original_apgd_l2_minimal,85.6(0.16148234506484918),0.0178,1.53,5.736,0.76,100.0(0.49087802420750504),1.2116,121.16,0.0,0.958,99.9(0.13172220636868556),0.0823,8.22,1.004,0.866,74.0(0.30056737002764966),1.3235,97.99,3.761,0.707,63.0(0.20843287605201616),0.013,0.82,10.701,0.633,0.075,0.742
cifar10,128,l2,zhang_2020_small,dr_fgm_l2_minimal,32.5(0.19029021397478235),0.1084,3.53,100000.0,0.317,72.5(0.45217033395613043),0.9967,72.22,0.0,0.538,87.6(0.17790418314830977),0.0603,5.28,2.104,0.628,39.0(0.2604218738482989),0.6588,25.7,4.352,0.38,12.0(0.13283873725370546),0.0266,0.32,100000.0,0.131,0.001,0.364
cifar10,128,l2,zhang_2020_small,art_bim_l2_minimal,17.4(0.1527423894116416),0.1923,3.34,100000.0,0.184,87.1(0.47641489503657036),1.2026,104.78,0.0,0.851,83.8(0.18731374963838746),0.0955,8.01,0.993,0.792,20.5(0.20395402514495303),1.2515,25.62,100000.0,0.182,6.3(0.09870593770702649),0.0513,0.32,100000.0,0.071,0.088,0.307
cifar10,128,l2,zhang_2020_small,fb_bim_l2_minimal,13.2(0.13634944055131448),0.2588,3.42,100000.0,0.141,68.5(0.4442452881516408),1.5719,107.74,0.0,0.609,81.3(0.19276421716002118),0.0842,6.85,1.297,0.733,29.1(0.23446304798737852),0.5192,15.1,3.33,0.281,4.7(0.0865556110581615),0.0593,0.28,100000.0,0.054,0.001,0.302
cifar10,128,l2,zhang_2020_small,fb_fgm_l2_minimal,13.2(0.13634944055131448),0.2588,3.42,100000.0,0.141,68.5(0.4442452881516408),1.5719,107.74,0.0,0.609,81.3(0.19276421716002118),0.0842,6.85,1.297,0.733,29.1(0.2344107599907923),0.5182,15.06,3.33,0.28,4.7(0.0865556110581615),0.0593,0.28,100000.0,0.054,0.001,0.302
cifar10,128,l2,zhang_2020_small,ch_fgm_l2_minimal,13.2(0.13634944055131448),0.2588,3.42,100000.0,0.141,68.5(0.4442452881516408),1.5719,107.74,0.0,0.609,81.3(0.1927873207173274),0.0842,6.85,1.297,0.733,29.0(0.23437056341304244),0.5185,15.06,3.336,0.28,4.7(0.0865556110581615),0.0593,0.28,100000.0,0.054,0.001,0.302
cifar10,128,l2,zhang_2020_small,art_fgm_l2_minimal,13.2(0.13634944055131448),0.2573,3.4,100000.0,0.141,68.5(0.4442452881516408),1.5722,107.76,0.0,0.609,81.3(0.19276421716002118),0.0842,6.85,1.297,0.733,29.0(0.23432539896475718),0.5188,15.06,3.344,0.28,4.7(0.0865556110581615),0.0593,0.28,100000.0,0.054,0.002,0.302
cifar10,128,l2,zhang_2020_small,art_pgd_l2_minimal,13.3(0.13688391575065503),0.2482,3.31,100000.0,0.144,84.3(0.4724065702759977),1.2427,104.7,0.0,0.828,81.5(0.19251809626842903),0.0982,8.0,0.99,0.776,18.1(0.19336090128850242),1.2324,22.31,100000.0,0.155,5.0(0.08874703791364319),0.0582,0.29,100000.0,0.057,0.037,0.283
cifar10,128,l2,zhang_2020_small,ta_pgd_l2_minimal,4.9(0.0869408526729672),0.0654,0.32,100000.0,0.056,69.3(0.44615769059830634),0.0648,4.49,0.0,0.647,77.7(0.19948183714602574),0.066,5.13,0.998,0.756,23.8(0.21647012129858811),0.0668,1.59,1.0,0.225,1.5(0.04975445951783019),0.0653,0.1,100000.0,0.018,0.032,0.263
cifar10,128,l2,zhang_2020_small,dr_pgd_l2_minimal,0.1(0.012945277048897792),0.3612,0.04,100000.0,0.001,40.9(0.3676059100087388),1.4367,58.76,0.0,0.46,3.1(0.07132483367658743),0.269,0.83,100000.0,0.033,2.9(0.0812083011835764),5.5366,16.06,100000.0,0,0.0(0.007293658003266629),0.3934,0.01,100000.0,0.0,0.064,0.009
cifar10,128,l2,stutz_2020,dr_fgm_l2_minimal,94.9(0.12389986176631848),0.1455,13.81,4.081,0.886,80.8(0.4670306090006794),0.0203,1.64,0.0,0.788,99.9(0.13166545896347037),1.0558,105.46,0.127,0.263,91.1(0.29334928981478436),0.6566,59.82,6.114,0.745,92.1(0.15051219631997995),0.0137,1.26,10.361,0.903,0.008,0.83
cifar10,128,l2,stutz_2020,ch_pgd_l2_minimal,100.0(0.09182025822469204),0.0135,1.35,5.376,0.86,89.2(0.47934651983951565),0.0111,0.99,0.0,0.815,100.0(0.1310915872532526),1.6927,169.27,0.072,0.444,99.6(0.2849077216743345),0.0536,5.34,8.0,0.641,93.1(0.14670475909297676),0.008,0.74,9.556,0.931,0.286,0.812
cifar10,128,l2,stutz_2020,original_apgd_l2_minimal,100.0(0.09215707824285144),0.011,1.1,8.508,0.716,98.9(0.4899263520208976),0.0102,1.0,0.0,0.772,100.0(0.1310915872532526),4.1996,419.96,0.021,0.992,100.0(0.28726999206807063),0.3293,32.92,7.988,0.66,95.8(0.1347779190138988),0.0065,0.62,12.396,0.894,0.497,0.76
cifar10,128,l2,stutz_2020,fb_bim_l2_minimal,92.1(0.1373765139930865),0.1381,12.71,5.801,0.812,71.9(0.45159728860416004),0.0183,1.31,0.0,0.723,99.9(0.1316641150411888),1.0745,107.33,0.113,0.292,78.6(0.29865587789782),0.172,13.51,6.368,0.678,82.4(0.18001912374583734),0.0133,1.1,11.076,0.812,0.008,0.756
cifar10,128,l2,stutz_2020,fb_fgm_l2_minimal,92.1(0.1373765139930865),0.138,12.71,5.801,0.812,71.9(0.45159728860416004),0.0183,1.31,0.0,0.723,99.9(0.1316641150411888),1.0744,107.32,0.113,0.292,78.6(0.2986559096461849),0.1728,13.58,6.368,0.678,82.4(0.18001912374583734),0.0133,1.1,11.076,0.812,0.008,0.756
cifar10,128,l2,stutz_2020,ch_fgm_l2_minimal,92.0(0.13792910034340636),0.1382,12.71,5.801,0.811,71.8(0.45145141444986475),0.0183,1.31,0.0,0.723,99.9(0.1316641150411888),1.0745,107.33,0.113,0.292,78.4(0.29865989903632517),0.1731,13.58,6.368,0.677,82.3(0.18038106934203857),0.0133,1.1,11.076,0.811,0.008,0.755
cifar10,128,l2,stutz_2020,art_fgm_l2_minimal,92.1(0.13751512012181483),0.1381,12.71,5.801,0.812,71.8(0.451503440908418),0.0183,1.31,0.0,0.723,99.9(0.1316641150411888),1.0745,107.33,0.113,0.292,78.3(0.29869981429436143),0.1733,13.57,6.411,0.675,82.3(0.18020181965766624),0.0133,1.1,11.076,0.811,0.009,0.755
cifar10,128,l2,stutz_2020,adv_lib_apgd_l2_minimal,100.0(0.09190302228351853),0.0085,0.85,9.766,0.669,99.7(0.490657688031816),0.01,0.99,0.0,0.804,100.0(0.1310915872532526),4.0658,406.58,0.023,0.974,100.0(0.28442112908551526),0.0533,5.33,11.013,0.595,93.8(0.1437980997040285),0.0059,0.55,13.235,0.862,0.794,0.732
cifar10,128,l2,stutz_2020,fb_pgd_l2_minimal,100.0(0.0919861297631039),0.008,0.8,10.964,0.625,98.9(0.48989904596359807),0.0095,0.94,0.0,0.786,100.0(0.1310915872532526),3.5376,353.76,0.023,0.948,99.8(0.28471081186788266),0.4885,48.74,10.487,0.571,94.5(0.14058822737373247),0.0059,0.56,13.466,0.866,0.354,0.712
cifar10,128,l2,stutz_2020,art_bim_l2_minimal,76.6(0.1839288510563778),0.0133,1.02,7.008,0.671,55.8(0.4145611223412359),0.0153,0.86,0.0,0.598,100.0(0.1310915872532526),1.6084,160.84,0.072,0.443,43.8(0.27009876457963805),0.2137,9.35,7.937,0.424,47.0(0.20948509803771367),0.0091,0.43,15.871,0.475,0.777,0.542
cifar10,128,l2,stutz_2020,art_pgd_l2_minimal,49.7(0.20576921273088847),0.0168,0.83,10.162,0.467,32.2(0.3320841763967053),0.0206,0.66,0.0,0.383,100.0(0.1310915872532526),1.7141,171.41,0.072,0.445,24.6(0.21967008960179416),0.3453,8.5,10.762,0.26,19.7(0.16314445241012304),0.0131,0.26,100000.0,0.21,0.296,0.33
cifar10,128,l2,stutz_2020,ta_pgd_l2_minimal,8.4(0.11169093137911358),0.0625,0.53,100000.0,0.096,7.4(0.1682962530431591),0.0625,0.46,0.0,0.102,100.0(0.1310915872532526),0.0625,6.25,1.0,0.0,24.7(0.21970005161181283),0.0625,1.54,1.0,0.302,0.9(0.038925321137326836),0.0625,0.06,100000.0,0.011,0.292,0.128
cifar10,128,l2,stutz_2020,dr_pgd_l2_minimal,0.3(0.022476814118001683),0.8326,0.26,100000.0,0.004,0.3(0.035381791354793087),0.4494,0.14,0.0,0.004,82.8(0.18979849133502835),1.7458,144.47,0.051,0.54,10.2(0.14876435548664196),3.4784,35.42,100000.0,0.086,0.0(0.00848206691085504),0.3876,0.02,100000.0,0.001,0.606,0.024
cifar10,128,l2,xiao_2020,ch_pgd_l2_minimal,100.0(0.09182025822469204),0.0131,1.31,6.339,0.886,99.9(0.4908014265122045),0.0235,2.35,0.0,0.803,100.0(0.1310915872532526),0.0302,3.02,3.37,0.855,100.0(0.28442112908551526),0.5813,58.13,1.937,0.561,95.9(0.13441803513104433),0.0117,1.12,7.751,0.847,0.281,0.848
cifar10,128,l2,xiao_2020,original_apgd_l2_minimal,100.0(0.09190926259919209),0.0129,1.29,7.267,0.815,100.0(0.49087802420750504),0.0205,2.05,0.0,0.822,100.0(0.1310915872532526),0.0284,2.84,3.125,0.816,100.0(0.28725329619552037),352.2324,35223.24,0.123,0.948,100.0(0.11208068256720531),0.0111,1.11,7.273,0.846,0.594,0.825
cifar10,128,l2,xiao_2020,adv_lib_apgd_l2_minimal,100.0(0.09182025822469204),0.0132,1.32,6.69,0.837,99.8(0.49073027605862335),0.0679,6.78,0.0,0.784,100.0(0.1310915872532526),0.0357,3.57,2.825,0.848,100.0(0.28442112908551526),31.0593,3105.93,0.07,0.973,96.5(0.1313205827764773),0.0104,1.0,7.758,0.794,0.778,0.816
cifar10,128,l2,xiao_2020,fb_pgd_l2_minimal,100.0(0.09182025822469204),0.0112,1.12,7.742,0.787,100.0(0.49087802420750504),0.0269,2.69,0.0,0.817,100.0(0.1310915872532526),0.0259,2.59,3.669,0.773,100.0(0.28442112908551526),0.5581,55.81,1.969,0.544,100.0(0.11194518766881803),0.011,1.1,7.885,0.798,0.346,0.794
cifar10,128,l2,xiao_2020,art_bim_l2_minimal,85.6(0.161400548139469),0.013,1.11,7.984,0.731,79.1(0.46413051044707704),0.0333,2.64,0.0,0.769,95.4(0.15214116358766547),0.0267,2.55,3.866,0.741,95.6(0.289468665443633),0.244,23.31,1.933,0.577,83.1(0.17836787081745512),0.0125,1.04,7.674,0.774,0.769,0.754
cifar10,128,l2,xiao_2020,art_pgd_l2_minimal,69.1(0.19595753707502914),0.0162,1.12,7.526,0.648,66.6(0.440670099144895),0.0405,2.7,0.0,0.686,89.7(0.17164958603930425),0.0277,2.48,3.76,0.745,92.0(0.2926961814895587),0.1898,17.46,1.934,0.578,65.0(0.20696814364427313),0.0144,0.94,7.503,0.671,0.293,0.688
cifar10,128,l2,xiao_2020,dr_fgm_l2_minimal,83.9(0.16627770716309367),0.0169,1.42,10.59,0.594,75.2(0.4576147677552981),0.0342,2.57,0.0,0.617,98.0(0.1409061787497198),0.0357,3.5,2.436,0.814,91.3(0.2932436297633542),0.7925,72.32,3.025,0.316,74.8(0.19518791067643998),0.0094,0.7,13.107,0.464,0.008,0.622
cifar10,128,l2,xiao_2020,fb_fgm_l2_minimal,74.8(0.18729273679045416),0.0144,1.08,9.837,0.59,67.2(0.4423375934068806),0.05,3.36,0.0,0.608,91.5(0.16621261096881249),0.0281,2.57,4.006,0.688,87.8(0.29553619548570287),0.9203,80.85,2.479,0.364,63.7(0.2079299991450552),0.0111,0.71,12.178,0.482,0.008,0.592
cifar10,128,l2,xiao_2020,fb_bim_l2_minimal,74.8(0.18729273679045416),0.0144,1.08,9.837,0.59,67.2(0.4423375934068806),0.05,3.36,0.0,0.608,91.5(0.16621261096881249),0.0281,2.57,4.006,0.688,87.8(0.29553619548570287),0.9209,80.9,2.479,0.364,63.7(0.2079299991450552),0.0111,0.71,12.178,0.482,0.008,0.592
cifar10,128,l2,xiao_2020,art_fgm_l2_minimal,72.0(0.19197689382176328),0.0147,1.06,9.93,0.575,63.4(0.43360915580913345),0.0525,3.33,0.0,0.583,88.9(0.1741529466628571),0.0286,2.54,4.027,0.677,83.9(0.297429775728051),0.9544,80.08,2.471,0.363,61.0(0.20955543779173386),0.0114,0.7,12.261,0.472,0.009,0.577
cifar10,128,l2,xiao_2020,ch_fgm_l2_minimal,69.8(0.19508057641976143),0.015,1.05,10.079,0.56,60.2(0.4261643817047697),0.0545,3.28,0.0,0.554,86.0(0.18202791147290823),0.0292,2.51,4.112,0.66,80.4(0.29846712385176055),1.0048,80.8,2.487,0.362,59.4(0.2102405642157188),0.0116,0.69,12.496,0.463,0.008,0.559
cifar10,128,l2,xiao_2020,ta_pgd_l2_minimal,2.3(0.060637261709552595),0.0625,0.15,100000.0,0.029,9.4(0.18952467560136624),0.0625,0.59,0.0,0.114,13.2(0.1404546562362923),0.0626,0.82,100000.0,0.144,32.5(0.24442331391903654),0.0625,2.03,1.0,0.291,1.4(0.04853326883844685),0.0625,0.09,100000.0,0.02,0.282,0.077
cifar10,128,l2,xiao_2020,dr_pgd_l2_minimal,0.1(0.010102629519832282),0.3876,0.02,100000.0,0.001,1.0(0.062189716374697925),0.3696,0.36,0.0,0.012,0.3(0.021654628032621352),0.5245,0.15,100000.0,0.003,29.7(0.23626989971672735),14.2689,423.65,0.292,0.295,0.1(0.009406007005731121),0.3218,0.02,100000.0,0.001,0.574,0.004
cifar10,128,l2,wang_2023_small,ch_pgd_l2_minimal,100.0(0.09182025822469204),0.1693,16.93,1.538,0.939,100.0(0.49087802420750504),0.0417,4.17,0.0,0.938,100.0(0.1310915872532526),0.0933,9.33,1.251,0.922,100.0(0.28442112908551526),0.431,43.1,1.398,0.897,100.0(0.11194518766881803),0.1553,15.53,0.841,0.974,0.799,0.924
cifar10,128,l2,wang_2023_small,original_apgd_l2_minimal,100.0(0.09190926259919209),0.0743,7.43,1.579,0.925,99.9(0.4908198205290503),0.023,2.3,0.0,0.923,100.0(0.1310915872532526),0.0622,6.22,1.36,0.905,100.0(0.28725329619552037),4.8841,488.41,1.489,0.9,100.0(0.11194518766881803),0.1605,16.05,0.803,0.987,3.042,0.913
cifar10,128,l2,wang_2023_small,fb_pgd_l2_minimal,100.0(0.09182025822469204),0.1687,16.87,1.581,0.933,99.6(0.4904777070187219),0.0409,4.07,0.0,0.906,100.0(0.1310915872532526),0.0933,9.33,1.254,0.917,100.0(0.28442112908551526),0.4461,44.61,1.421,0.888,100.0(0.11194518766881803),0.1568,15.68,0.838,0.972,1.002,0.911
cifar10,128,l2,wang_2023_small,art_bim_l2_minimal,99.9(0.09272678273913805),0.1694,16.92,1.557,0.924,89.8(0.4795928767472738),0.0451,4.05,0.0,0.868,99.8(0.13228973353251874),0.0937,9.35,1.271,0.914,99.9(0.2845998299687691),0.4385,43.79,1.378,0.917,100.0(0.11194518766881803),0.1558,15.58,0.833,0.978,2.065,0.906
cifar10,128,l2,wang_2023_small,art_pgd_l2_minimal,99.8(0.09313566477386288),0.1697,16.94,1.548,0.926,85.6(0.4738557069092176),0.0482,4.13,0.0,0.845,99.5(0.1335285157690065),0.094,9.35,1.258,0.915,99.7(0.28484367993723014),0.4274,42.6,1.384,0.919,100.0(0.11208078251858565),0.1553,15.53,0.84,0.974,0.824,0.901
cifar10,128,l2,wang_2023_small,adv_lib_apgd_l2_minimal,100.0(0.09182025822469204),0.0616,6.16,1.625,0.92,100.0(0.49087802420750504),0.0184,1.84,0.0,0.795,100.0(0.1310915872532526),0.0592,5.92,1.359,0.905,100.0(0.28442112908551526),0.0397,3.97,1.563,0.774,100.0(0.11194518766881803),0.1688,16.88,0.797,0.984,2.048,0.848
cifar10,128,l2,wang_2023_small,fb_bim_l2_minimal,79.5(0.17782358733892353),0.1827,14.52,5.031,0.457,76.8(0.4602245370925009),0.0506,3.89,0.0,0.688,94.1(0.15704658173333258),0.0879,8.27,1.631,0.727,92.1(0.292495147262314),0.5057,46.58,1.688,0.67,79.1(0.18735735161255607),0.14,11.08,3.244,0.418,0.029,0.636
cifar10,128,l2,wang_2023_small,ch_fgm_l2_minimal,79.5(0.17782358733892353),0.1827,14.51,5.031,0.457,76.8(0.4602245370925009),0.0506,3.89,0.0,0.688,94.1(0.15704658173333258),0.0879,8.27,1.631,0.727,92.2(0.29246218303274596),0.5133,47.3,1.689,0.67,79.1(0.18735735161255607),0.14,11.08,3.244,0.418,0.029,0.636
cifar10,128,l2,wang_2023_small,fb_fgm_l2_minimal,79.5(0.17782358733892353),0.1827,14.51,5.031,0.457,76.8(0.4602245370925009),0.0506,3.89,0.0,0.688,94.1(0.15704658173333258),0.0879,8.27,1.631,0.727,92.1(0.29247760245212934),0.5134,47.3,1.689,0.67,79.1(0.18735735161255607),0.14,11.08,3.244,0.418,0.029,0.636
cifar10,128,l2,wang_2023_small,art_fgm_l2_minimal,79.5(0.17782358733892353),0.1827,14.51,5.031,0.457,76.8(0.4602245370925009),0.0506,3.89,0.0,0.688,94.1(0.15704658173333258),0.0879,8.27,1.631,0.727,92.2(0.29246532127862834),0.5105,47.04,1.679,0.67,79.1(0.18737903613670034),0.14,11.08,3.244,0.418,0.03,0.636
cifar10,128,l2,wang_2023_small,dr_fgm_l2_minimal,85.6(0.16139919788103385),0.225,19.25,4.818,0.472,81.9(0.4686698004244859),0.0422,3.46,0.0,0.685,96.5(0.14729283593432915),0.0874,8.44,1.634,0.732,95.1(0.28986059952829707),0.2273,21.61,1.793,0.647,83.1(0.17851475636333877),0.1205,10.01,3.345,0.409,0.029,0.634
cifar10,128,l2,wang_2023_small,ta_pgd_l2_minimal,34.2(0.19296730604234563),0.0625,2.14,100000.0,0.367,11.2(0.205184152251967),0.0625,0.7,0.0,0.126,45.2(0.21345312057677338),0.0625,2.82,1.0,0.468,34.4(0.24927853480151127),0.0625,2.15,1.0,0.339,60.7(0.20972576751995575),0.0625,3.79,1.0,0.581,0.815,0.325
cifar10,128,l2,wang_2023_small,dr_pgd_l2_minimal,11.2(0.1270452823281643),0.8917,10.0,100000.0,0.126,6.3(0.15501600729678108),0.2598,1.64,0.0,0.072,20.5(0.16842705361341404),0.1917,3.93,100000.0,0.223,21.7(0.20834421157883584),7.0053,151.85,100000.0,0.203,55.5(0.21120449782087375),0.1933,10.73,1.036,0.587,2.026,0.156
cifar10,128,l2,ensemble,ch_pgd_l2_HORNET,100.0(0.09182025822469204),0.1704,17.04,1.524,0.922,100.0(0.49087802420750504),0.0535,5.35,0.0,0.92,100.0(0.1310915872532526),0.1336,13.36,0.756,0.916,100.0(0.28442112908551526),0.6493,64.93,1.17,0.9,97.0(0.12883241287534455),0.0164,1.59,6.643,0.873,3.789,0.906
cifar10,128,l2,ensemble,original_apgd_l2_HORNET,100.0(0.09190926259919209),0.0775,7.75,1.563,0.904,100.0(0.49087802420750504),0.0335,3.35,0.0,0.913,100.0(0.1310915872532526),0.1087,10.87,0.823,0.881,100.0(0.28725329619552037),5.8114,581.14,1.25,0.906,100.0(0.11201298939594245),0.0162,1.62,6.001,0.923,15.229,0.906
cifar10,128,l2,ensemble,fb_pgd_l2_HORNET,100.0(0.09182025822469204),0.1704,17.04,1.566,0.91,100.0(0.49087802420750504),0.0534,5.34,0.0,0.901,100.0(0.1310915872532526),0.1339,13.39,0.843,0.876,100.0(0.28442112908551526),1.0577,105.77,1.125,0.894,100.0(0.11194518766881803),0.0161,1.61,6.282,0.905,4.633,0.897
cifar10,128,l2,ensemble,art_bim_l2_HORNET,100.0(0.09190320532515653),0.1703,17.03,1.54,0.904,95.5(0.4861777706565763),0.0579,5.53,0.0,0.902,100.0(0.13114912048372307),0.1347,13.46,0.793,0.885,100.0(0.28448175326273123),0.715,71.47,1.124,0.921,88.5(0.16318129713208845),0.0163,1.44,6.315,0.815,9.357,0.885
cifar10,128,l2,ensemble,art_pgd_l2_HORNET,99.9(0.09264510276925965),0.1707,17.05,1.537,0.905,91.1(0.4809815035671251),0.0616,5.61,0.0,0.884,100.0(0.13126465347439958),0.1353,13.53,0.787,0.885,99.7(0.2847886424639234),0.6685,66.66,1.15,0.922,68.9(0.20320455969826257),0.0202,1.39,6.746,0.692,4.656,0.858
