Dataset,BatchSize,Threat,Source Model,Attack,standard TSR(FR),standard S_APR,standard S_total,standard median_norm,standard Optimality,zhang_2020_small TSR(FR),zhang_2020_small S_APR,zhang_2020_small S_total,zhang_2020_small median_norm,zhang_2020_small Optimality,stutz_2020 TSR(FR),stutz_2020 S_APR,stutz_2020 S_total,stutz_2020 median_norm,stutz_2020 Optimality,xiao_2020 TSR(FR),xiao_2020 S_APR,xiao_2020 S_total,xiao_2020 median_norm,xiao_2020 Optimality,wang_2023_small TSR(FR),wang_2023_small S_APR,wang_2023_small S_total,wang_2023_small median_norm,wang_2023_small Optimality,per-time,Average transfer optimality
cifar10,128,l2,standard,original_apgd_l2_minimal,100.0(0.09190926259919209),1.964,196.4,0.093,0.995,100.0(0.49087802420750504),0.0107,1.07,0.0,0.868,99.0(0.13633019860028855),0.0335,3.32,3.675,0.825,100.0(0.28725329619552037),0.0334,3.34,5.933,0.82,96.0(0.13374259366377012),0.0125,1.2,7.624,0.958,3.046,0.868
cifar10,128,l2,standard,ch_pgd_l2_minimal,100.0(0.09182025822469204),2.6554,265.54,0.149,0.824,90.9(0.4815159956559816),0.014,1.27,0.0,0.825,100.0(0.1310915872532526),0.0438,4.38,3.34,0.896,100.0(0.2844365823205723),0.089,8.9,7.203,0.675,95.0(0.13846608573478275),0.0125,1.19,8.0,0.944,0.758,0.835
cifar10,128,l2,standard,adv_lib_apgd_l2_minimal,100.0(0.09182025822469204),2.8755,287.55,0.096,0.986,98.9(0.4897806642769269),0.0112,1.11,0.0,0.82,100.0(0.1310915872532526),0.041,4.1,2.88,0.885,100.0(0.28442112908551526),0.0313,3.13,7.488,0.659,94.3(0.14139271766667783),0.0119,1.12,7.932,0.937,1.912,0.825
cifar10,128,l2,standard,fb_pgd_l2_minimal,100.0(0.09182025822469204),2.8705,287.05,0.1,0.962,99.9(0.4908254003269372),0.0136,1.36,0.0,0.818,99.6(0.1330259437964158),0.0481,4.79,3.601,0.822,99.9(0.2845883965369932),0.1357,13.55,7.496,0.668,95.0(0.1384671641124192),0.0119,1.13,7.935,0.942,0.927,0.812
cifar10,128,l2,standard,dr_fgm_l2_minimal,98.2(0.10488632864036482),2.3391,229.66,0.371,0.455,85.4(0.4742728634300879),0.0185,1.58,0.0,0.752,98.3(0.13966694712746247),0.0512,5.03,3.235,0.774,91.7(0.29294387853666626),0.1048,9.6,8.02,0.597,97.1(0.1282246216807806),0.0127,1.23,8.494,0.941,0.027,0.766
cifar10,128,l2,standard,fb_bim_l2_minimal,98.1(0.10558158372875587),2.5604,251.12,0.338,0.47,78.3(0.4633452122586898),0.0174,1.36,0.0,0.698,96.9(0.14581021142266948),0.0552,5.35,4.034,0.738,82.7(0.29787101322104065),0.1446,11.96,8.814,0.55,95.7(0.13523304666766858),0.0127,1.21,9.048,0.92,0.027,0.727
cifar10,128,l2,standard,fb_fgm_l2_minimal,98.1(0.10558158372875587),2.5426,249.37,0.338,0.47,78.3(0.4633452122586898),0.0174,1.36,0.0,0.698,96.9(0.14581021142266948),0.0552,5.35,4.034,0.738,82.7(0.2978760942854314),0.1448,11.97,8.814,0.55,95.7(0.13523304666766858),0.0127,1.21,9.048,0.92,0.027,0.727
cifar10,128,l2,standard,art_fgm_l2_minimal,96.5(0.11526866248911341),2.5877,249.73,0.335,0.471,73.1(0.4541470840961465),0.0183,1.34,0.0,0.668,93.4(0.15957671970307405),0.0577,5.39,4.107,0.722,74.8(0.2987915237853669),0.1741,13.03,8.262,0.538,90.1(0.15795698962376217),0.0131,1.18,9.273,0.87,0.028,0.699
cifar10,128,l2,standard,ch_fgm_l2_minimal,91.4(0.14027356833773735),2.7255,249.2,0.339,0.47,63.0(0.43313251673759345),0.0202,1.27,0.0,0.584,85.2(0.18422558874391717),0.0621,5.29,4.26,0.678,65.4(0.2955881049856202),0.3365,22.02,8.607,0.484,78.4(0.18879828833540657),0.0141,1.11,9.728,0.764,0.028,0.628
cifar10,128,l2,standard,art_bim_l2_minimal,100.0(0.09182025822469204),2.6566,265.66,0.151,0.823,33.5(0.3389545524426063),0.0251,0.84,0.0,0.401,89.6(0.1720900748138489),0.051,4.57,3.517,0.802,36.9(0.25586431424778244),0.172,6.35,5.644,0.403,48.1(0.21000596560575874),0.0169,0.81,8.028,0.503,1.871,0.527
cifar10,128,l2,standard,art_pgd_l2_minimal,100.0(0.09190263221725971),2.6574,265.71,0.151,0.822,18.6(0.2607722137006387),0.0352,0.65,0.0,0.24,77.6(0.19969899946162428),0.0598,4.64,3.375,0.738,24.1(0.21788963863992733),0.3587,8.66,5.908,0.262,24.6(0.17724048650150842),0.0285,0.7,100000.0,0.266,0.931,0.376
cifar10,128,l2,standard,ta_pgd_l2_minimal,100.0(0.09182025822469204),0.0625,6.25,1.0,0,5.1(0.14134212357991266),0.0625,0.32,0.0,0.073,17.1(0.15684858789101142),0.0625,1.07,100000.0,0.194,25.0(0.22068555072292556),0.0625,1.56,1.0,0.299,1.6(0.05056060578955356),0.0625,0.1,100000.0,0.018,0.757,0.146
cifar10,128,l2,standard,dr_pgd_l2_minimal,12.9(0.13480649124722185),7.0739,91.05,100000.0,0.15,0.1(0.015152879257822553),0.777,0.04,0.0,0.001,0.4(0.02501042973678975),1.1089,0.41,100000.0,0.004,1.9(0.06566247561980215),48.8468,91.71,100000.0,0,0.1(0.009410939036001932),0.7597,0.04,100000.0,0.001,1.887,0.001
