Dataset,BatchSize,Threat,Source Model,Attack,standard_imagenet TSR(FR),standard_imagenet S_APR,standard_imagenet S_total,standard_imagenet median_norm,standard_imagenet Optimality,wong_2020 TSR(FR),wong_2020 S_APR,wong_2020 S_total,wong_2020 median_norm,wong_2020 Optimality,salman_2020 TSR(FR),salman_2020 S_APR,salman_2020 S_total,salman_2020 median_norm,salman_2020 Optimality,debenedetti_2022 TSR(FR),debenedetti_2022 S_APR,debenedetti_2022 S_total,debenedetti_2022 median_norm,debenedetti_2022 Optimality,per-time,Average transfer optimality
imagenet,32,l2,salman_2020,ch_pgd_l2_minimal,100.0(0.2171994427748141),0.0235,2.35,8.049,0.886,100.0(0.35495918435462587),0.0209,2.09,1.492,0.951,100.0(0.2632999619752077),0.1515,15.15,0.871,0.988,100.0(0.23999227583647598),0.0337,3.37,11.001,0.79,1.887,0.876
imagenet,32,l2,salman_2020,art_bim_l2_minimal,95.9(0.22640856806686271),0.0188,1.8,8.401,0.928,74.5(0.3500031832161952),0.0277,2.07,1.492,0.771,99.8(0.26358377012423584),0.1517,15.15,0.863,0.996,87.3(0.2592064783121795),0.0387,3.38,11.364,0.894,4.847,0.865
imagenet,32,l2,salman_2020,art_pgd_l2_minimal,77.9(0.25093202156845745),0.0259,2.02,8.25,0.796,60.9(0.3358969899224827),0.0341,2.08,1.451,0.649,99.8(0.26358377012423584),0.1555,15.52,0.867,0.989,64.6(0.26841147274993554),0.0521,3.37,9.752,0.711,2.005,0.719
imagenet,32,l2,debenedetti_2022,original_apgd_l2_minimal,100.0(0.21713087549161592),0.0334,3.34,4.712,0.98,100.0(0.35496511003450704),0.0152,1.52,2.111,0.971,100.0(0.2632999619752077),0.0233,2.33,3.633,0.977,100.0(0.2399399492875409),0.1342,13.42,1.858,0.991,0.766,0.976
imagenet,32,l2,debenedetti_2022,fb_pgd_l2_minimal,100.0(0.21713087549161592),0.0368,3.68,4.704,0.978,100.0(0.35496511003450704),0.0304,3.04,1.382,0.963,100.0(0.2632999619752077),0.0377,3.77,3.611,0.967,100.0(0.2399399492875409),0.1335,13.35,1.873,0.994,1.689,0.969
imagenet,32,l2,debenedetti_2022,art_bim_l2_minimal,99.8(0.21764142541154766),0.0361,3.6,4.601,0.978,96.5(0.3559898380126148),0.032,3.08,1.388,0.947,99.1(0.264705689247811),0.0385,3.82,3.584,0.966,100.0(0.2399399492875409),0.1338,13.38,1.859,0.995,3.557,0.964
imagenet,32,l2,debenedetti_2022,ch_pgd_l2_minimal,100.0(0.21713087549161592),0.0375,3.75,4.711,0.98,100.0(0.35495918435462587),0.0308,3.08,1.382,0.948,100.0(0.263347646986278),0.0387,3.87,3.531,0.959,100.0(0.2399399492875409),0.1333,13.33,1.884,0.976,1.378,0.962
imagenet,32,l2,debenedetti_2022,art_pgd_l2_minimal,98.6(0.22029693857696478),0.0361,3.56,4.671,0.972,89.8(0.3563626546220679),0.0341,3.06,1.382,0.911,96.1(0.26901886721723844),0.0397,3.81,3.525,0.961,100.0(0.2399956721763236),0.1334,13.34,1.882,0.978,1.469,0.948
imagenet,32,l2,ensemble,original_apgd_l2_HORNET,100.0(0.21713087549161592),0.0363,3.63,4.453,0.977,100.0(0.35496511003450704),0.0213,2.13,1.395,0.976,100.0(0.2632999619752077),0.0304,3.04,3.289,0.979,100.0(0.2399399492875409),0.0288,2.88,11.53,0.936,3.642,0.967
imagenet,32,l2,ensemble,art_bim_l2_HORNET,99.9(0.21744903286785208),0.0377,3.76,4.35,0.974,97.2(0.35579502038238386),0.0362,3.52,1.067,0.954,99.3(0.26433314879771663),0.0407,4.04,3.249,0.969,93.2(0.2516950992011259),0.0369,3.44,10.653,0.936,17.035,0.958
imagenet,32,l2,ensemble,fb_pgd_l2_HORNET,100.0(0.21713087549161592),0.041,4.1,4.383,0.973,100.0(0.35496511003450704),0.0355,3.55,1.041,0.966,100.0(0.2632999619752077),0.0398,3.98,3.262,0.97,100.0(0.2399399492875409),0.034,3.4,12.971,0.897,8.322,0.951
imagenet,32,l2,ensemble,ch_pgd_l2_HORNET,100.0(0.21713087549161592),0.0421,4.21,4.399,0.974,100.0(0.35495918435462587),0.0351,3.51,1.07,0.953,100.0(0.263347646986278),0.0409,4.09,3.232,0.961,100.0(0.23999227583647598),0.0342,3.42,10.245,0.816,6.491,0.926
imagenet,32,l2,ensemble,art_pgd_l2_HORNET,99.1(0.2192988961428879),0.0391,3.87,4.367,0.971,91.0(0.3564562820056011),0.0384,3.5,1.064,0.921,96.4(0.2685679452494749),0.0419,4.04,3.23,0.963,70.0(0.2688974290930911),0.049,3.43,9.347,0.756,7.121,0.903
