Dataset,BatchSize,Threat,Source Model,Attack,standard_imagenet TSR(FR),standard_imagenet S_APR,standard_imagenet S_total,standard_imagenet median_norm,standard_imagenet Optimality,wong_2020 TSR(FR),wong_2020 S_APR,wong_2020 S_total,wong_2020 median_norm,wong_2020 Optimality,salman_2020 TSR(FR),salman_2020 S_APR,salman_2020 S_total,salman_2020 median_norm,salman_2020 Optimality,debenedetti_2022 TSR(FR),debenedetti_2022 S_APR,debenedetti_2022 S_total,debenedetti_2022 median_norm,debenedetti_2022 Optimality,per-time,Average transfer optimality
imagenet,32,l2,standard_imagenet,original_apgd_l2_minimal,100.0(0.21713087549161592),13.3506,1335.06,0.094,0.997,100.0(0.35497796245994),0.0033,0.33,11.615,0.993,100.0(0.2632999619752077),0.0031,0.31,23.176,0.992,100.0(0.23999833723915126),0.0031,0.31,31.781,0.987,0.911,0.991
imagenet,32,l2,standard_imagenet,fb_pgd_l2_minimal,100.0(0.21713087549161592),3.0994,309.94,0.097,0.989,100.0(0.35497796245994),0.0032,0.32,11.945,0.984,100.0(0.2632999619752077),0.0034,0.34,23.755,0.977,100.0(0.2399399492875409),0.0036,0.36,32.149,0.97,2.08,0.977
imagenet,32,l2,standard_imagenet,ch_pgd_l2_minimal,100.0(0.21713087549161592),2.5495,254.95,0.121,0.949,99.9(0.3549747987355352),0.0031,0.31,13.518,0.933,99.9(0.2633890126857012),0.003,0.3,31.771,0.872,99.9(0.24010315095838533),0.003,0.3,48.756,0.805,1.623,0.87
imagenet,32,l2,standard_imagenet,art_bim_l2_minimal,99.7(0.21789990022769323),4.1156,410.26,0.122,0.952,7.4(0.140337755694459),0.0177,0.13,100000.0,0.088,5.8(0.11062460864856989),0.0265,0.15,100000.0,0.073,3.7(0.08761187045344537),0.051,0.19,100000.0,0.049,4.259,0.07
imagenet,32,l2,standard_imagenet,art_pgd_l2_minimal,99.7(0.21796289420849405),2.6357,262.67,0.121,0.95,4.0(0.1045063714635928),0.0262,0.11,100000.0,0.049,2.9(0.07853915667807015),0.0475,0.14,100000.0,0.037,1.6(0.05797682129530085),0.1088,0.18,100000.0,0.022,1.78,0.036
imagenet,32,l2,wong_2020,original_apgd_l2_minimal,100.0(0.21713087549161592),0.0093,0.93,11.046,0.956,100.0(0.35496511003450704),0.2132,21.32,0.193,0.994,100.0(0.2632999619752077),0.0182,1.82,6.891,0.971,100.0(0.2399399492875409),0.013,1.3,14.91,0.938,0.896,0.955
imagenet,32,l2,wong_2020,fb_pgd_l2_minimal,100.0(0.21713087549161592),0.0106,1.06,11.26,0.944,100.0(0.35496511003450704),0.2032,20.32,0.196,0.99,100.0(0.2632999619752077),0.0194,1.94,7.519,0.95,100.0(0.2399399492875409),0.0153,1.53,16.201,0.902,2.075,0.932
imagenet,32,l2,wong_2020,art_bim_l2_minimal,92.0(0.23376661167068982),0.011,1.01,11.416,0.899,99.9(0.3549859578268436),0.2004,20.02,0.208,0.995,79.5(0.2827941306418176),0.0244,1.94,7.449,0.815,86.4(0.2601000448850767),0.0183,1.58,14.121,0.88,4.227,0.865
imagenet,32,l2,wong_2020,ch_pgd_l2_minimal,100.0(0.2171994427748141),0.0108,1.08,11.769,0.852,100.0(0.35496511003450704),0.1979,19.79,0.208,0.988,100.0(0.263347646986278),0.0189,1.89,7.19,0.931,100.0(0.23999227583647598),0.0155,1.55,14.494,0.78,1.646,0.854
imagenet,32,l2,wong_2020,art_pgd_l2_minimal,59.4(0.2547160869456384),0.0151,0.9,11.201,0.623,99.9(0.355001516313388),0.1999,19.97,0.208,0.99,58.2(0.27813798623668895),0.0325,1.89,7.014,0.624,51.8(0.26043016161724686),0.0294,1.52,12.431,0.574,1.752,0.607
imagenet,32,l2,salman_2020,original_apgd_l2_minimal,100.0(0.21713087549161592),0.0174,1.74,7.979,0.956,100.0(0.35496511003450704),0.0163,1.63,1.586,0.964,100.0(0.2632999619752077),0.1718,17.18,0.859,0.991,100.0(0.2399399492875409),0.0251,2.51,12.835,0.921,1.046,0.947
imagenet,32,l2,salman_2020,fb_pgd_l2_minimal,100.0(0.21713087549161592),0.0214,2.14,8.091,0.938,100.0(0.35496511003450704),0.0215,2.15,1.491,0.947,100.0(0.2632999619752077),0.1521,15.21,0.859,0.991,100.0(0.2399399492875409),0.0333,3.33,14.423,0.874,2.367,0.92
