Dataset,BatchSize,Threat,Source Model,Attack,standard_imagenet TSR(FR),standard_imagenet S_APR,standard_imagenet S_total,standard_imagenet median_norm,standard_imagenet Optimality,wong_2020 TSR(FR),wong_2020 S_APR,wong_2020 S_total,wong_2020 median_norm,wong_2020 Optimality,salman_2020 TSR(FR),salman_2020 S_APR,salman_2020 S_total,salman_2020 median_norm,salman_2020 Optimality,debenedetti_2022 TSR(FR),debenedetti_2022 S_APR,debenedetti_2022 S_total,debenedetti_2022 median_norm,debenedetti_2022 Optimality,per-time,Average transfer optimality
imagenet,32,l0,standard_imagenet,original_pgd0_minimal,100.0(0.21713087549161592),0.0069,0.69,324.0,1.0,100.0(0.35496511003450704),0.0016,0.16,300.0,1.0,100.0(0.2632999619752077),0.002,0.2,873.0,1.0,100.0(0.2399399492875409),0.0013,0.13,2301.0,1.0,15.738,1.0
imagenet,32,l0,wong_2020,original_pgd0_minimal,100.0(0.21713087549161592),0.0028,0.28,1542.5,1.0,100.0(0.35496511003450704),0.01,1.0,36.0,1.0,100.0(0.2632999619752077),0.004,0.4,576.0,1.0,100.0(0.2399399492875409),0.0023,0.23,1916.0,1.0,15.807,1.0
imagenet,32,l0,salman_2020,original_pgd0_minimal,100.0(0.21713087549161592),0.0024,0.24,1540.5,1.0,100.0(0.35496511003450704),0.0027,0.27,176.5,1.0,100.0(0.2632999619752077),0.0091,0.91,186.0,1.0,100.0(0.2399399492875409),0.0023,0.23,1923.0,1.0,16.44,1.0
imagenet,32,l0,debenedetti_2022,original_pgd0_minimal,100.0(0.21713087549161592),0.0022,0.22,1506.0,1.0,100.0(0.35496511003450704),0.0021,0.21,252.0,1.0,100.0(0.2632999619752077),0.003,0.3,672.0,1.0,100.0(0.2399399492875409),0.0062,0.62,384.0,1.0,15.359,1.0
imagenet,32,l0,ensemble,original_pgd0_HORNET,100.0(0.21713087549161592),0.0039,0.39,1127.5,1.0,100.0(0.35496511003450704),0.0037,0.37,132.0,1.0,100.0(0.2632999619752077),0.0052,0.52,456.0,1.0,100.0(0.2399399492875409),0.0029,0.29,1626.0,1.0,62.953,1.0
