Dataset,BatchSize,Threat,Source Model,Attack,standard_imagenet TSR(FR),standard_imagenet S_APR,standard_imagenet S_total,standard_imagenet median_norm,standard_imagenet Optimality,wong_2020 TSR(FR),wong_2020 S_APR,wong_2020 S_total,wong_2020 median_norm,wong_2020 Optimality,salman_2020 TSR(FR),salman_2020 S_APR,salman_2020 S_total,salman_2020 median_norm,salman_2020 Optimality,debenedetti_2022 TSR(FR),debenedetti_2022 S_APR,debenedetti_2022 S_total,debenedetti_2022 median_norm,debenedetti_2022 Optimality,per-time,Average transfer optimality
imagenet,32,linf,salman_2020,original_ga_dmi_fgsm,100.0(0.21719539522099748),0.0195,1.95,0.2,0.0,99.9(0.3550332883876316),0.0193,1.93,0.2,0.717,100.0(0.2633517235299235),0.0196,1.96,0.2,0.0,99.8(0.24038604242782266),0.0194,1.94,0.2,0.659,0.025,0.459
imagenet,32,linf,debenedetti_2022,original_apgd_minimal,100.0(0.21713087549161592),0.3904,39.04,0.022,0.97,100.0(0.35496511003450704),0.1469,14.69,0.014,0.962,100.0(0.2632999619752077),0.1893,18.93,0.029,0.966,100.0(0.2399399492875409),1.2815,128.15,0.012,0.999,0.771,0.966
imagenet,32,linf,debenedetti_2022,art_pgd_minimal,100.0(0.21713087549161592),0.4386,43.86,0.023,0.924,100.0(0.35496511003450704),0.2738,27.38,0.009,0.942,100.0(0.2632999619752077),0.2732,27.32,0.031,0.94,100.0(0.2399399492875409),1.2604,126.04,0.013,0.966,1.78,0.935
imagenet,32,linf,debenedetti_2022,art_bim_minimal,100.0(0.21713087549161592),0.4387,43.87,0.023,0.926,100.0(0.35496511003450704),0.2734,27.34,0.009,0.939,100.0(0.2632999619752077),0.273,27.3,0.032,0.937,100.0(0.2399399492875409),1.2607,126.07,0.013,0.967,4.315,0.934
imagenet,32,linf,debenedetti_2022,ch_pgd_minimal,100.0(0.21713087549161592),0.436,43.6,0.022,0.909,100.0(0.35496511003450704),0.2722,27.22,0.009,0.93,100.0(0.2632999619752077),0.2753,27.53,0.032,0.908,100.0(0.2399399492875409),1.2612,126.12,0.013,0.955,1.361,0.916
imagenet,32,linf,debenedetti_2022,art_fgm_minimal,99.8(0.2177234506135536),0.4221,42.11,0.024,0.716,99.9(0.3550122751740994),0.2594,25.9,0.01,0.807,99.7(0.26372464925273637),0.2641,26.34,0.033,0.77,98.7(0.24249358033940407),1.2304,121.41,0.014,0.725,0.118,0.764
imagenet,32,linf,debenedetti_2022,ch_fgm_minimal,99.8(0.2177234506135536),0.4221,42.11,0.024,0.716,99.9(0.3550122751740994),0.2594,25.9,0.01,0.807,99.7(0.26372464925273637),0.2641,26.34,0.033,0.77,98.7(0.24249358033940407),1.2304,121.41,0.014,0.725,0.046,0.764
imagenet,32,linf,debenedetti_2022,original_ga_dmi_fgsm,99.9(0.2172594932312973),0.0195,1.95,0.2,0.0,99.5(0.3551361643660705),0.0191,1.9,0.2,0.795,99.9(0.263541947104836),0.0193,1.93,0.2,0.749,99.6(0.2406048042185033),0.0196,1.95,0.2,0,0.016,0.515
imagenet,32,linf,debenedetti_2022,original_ga_tdmi_fgsm,99.9(0.2172644268011803),0.0195,1.95,0.2,0.0,99.5(0.3551585690734639),0.0191,1.9,0.2,0.794,99.8(0.26362608492858075),0.0193,1.92,0.2,0.746,99.7(0.24060040177298903),0.0195,1.95,0.2,0,0.019,0.514
imagenet,32,linf,ensemble,original_apgd_HORNET,100.0(0.21713087549161592),0.4695,46.95,0.02,0.969,100.0(0.35496511003450704),0.2089,20.89,0.011,0.982,100.0(0.2632999619752077),0.2884,28.84,0.026,0.989,100.0(0.2399399492875409),0.4694,46.94,0.03,0.987,3.654,0.982
imagenet,32,linf,ensemble,art_bim_HORNET,100.0(0.21713087549161592),0.506,50.6,0.02,0.935,100.0(0.35496511003450704),0.3559,35.59,0.007,0.958,100.0(0.2632999619752077),0.3147,31.47,0.028,0.957,100.0(0.2399399492875409),0.5027,50.27,0.035,0.947,19.78,0.949
imagenet,32,linf,ensemble,art_pgd_HORNET,100.0(0.21713087549161592),0.5118,51.18,0.02,0.934,100.0(0.35496511003450704),0.3567,35.67,0.007,0.959,100.0(0.2632999619752077),0.3151,31.51,0.028,0.955,100.0(0.2399399492875409),0.5025,50.25,0.035,0.945,8.162,0.948
imagenet,32,linf,ensemble,ch_pgd_HORNET,100.0(0.21713087549161592),0.5121,51.21,0.02,0.926,100.0(0.35496511003450704),0.3536,35.36,0.007,0.932,100.0(0.2632999619752077),0.3216,32.16,0.028,0.907,100.0(0.2399399492875409),0.4986,49.86,0.035,0.891,6.642,0.914
imagenet,32,linf,ensemble,art_fgm_HORNET,99.9(0.2172614654439722),0.4991,49.88,0.021,0.812,100.0(0.3549807917922312),0.3411,34.1,0.007,0.851,100.0(0.2632999619752077),0.3089,30.89,0.027,0.858,100.0(0.2399399492875409),0.4979,49.79,0.034,0.803,0.499,0.831
imagenet,32,linf,ensemble,ch_fgm_HORNET,99.9(0.2172614654439722),0.4991,49.88,0.021,0.812,100.0(0.3549807917922312),0.3411,34.1,0.007,0.851,100.0(0.2632999619752077),0.3089,30.89,0.027,0.858,100.0(0.2399399492875409),0.4979,49.79,0.034,0.803,0.218,0.831
imagenet,32,linf,ensemble,original_ga_tdmi_fgsm,100.0(0.21713087549161592),0.0196,1.96,0.2,0.0,100.0(0.35496511003450704),0.0195,1.95,0.2,0.69,100.0(0.2632999619752077),0.0196,1.96,0.2,0.0,100.0(0.2399399492875409),0.0196,1.95,0.2,0,0.078,0.173
imagenet,32,linf,ensemble,original_ga_dmi_fgsm,100.0(0.21713087549161592),0.0196,1.96,0.2,0.0,100.0(0.35496511003450704),0.0194,1.94,0.2,0.688,100.0(0.2632999619752077),0.0196,1.96,0.2,0.0,100.0(0.2399399492875409),0.0195,1.95,0.2,0,0.077,0.172
