Dataset,$\ell_p$,Source Model,Library,Attack Name,I1 ASR,I1 Optimality,I2 ASR,I2 Optimality,I3 ASR,I3 Optimality,I4 ASR,I4 Optimality
imagenet,$\ell_1$,I4,Foolbox,\hornetwrap{PGD},80.6,0.602,69.1,0.537,75.1,0.566,98.6,0.526
imagenet,$\ell_1$,I4,Foolbox,\hornetwrap{BIM},78.6,0.581,66.7,0.515,72.6,0.54,96.9,0.505
imagenet,$\ell_1$,I4,ART,\hornetwrap{BIM},40.8,0.412,34.2,0.355,40.9,0.404,70.1,0.492
imagenet,$\ell_1$,E,Original,\hornetwrap{APGD},98.5,0.982,96.1,0.989,98.2,0.995,54.4,0.782
imagenet,$\ell_1$,E,AdvLib,\hornetwrap{APGD},95.1,0.861,89.6,0.841,93.8,0.856,31.0,0.38
imagenet,$\ell_1$,E,Foolbox,\hornetwrap{PGD},86.8,0.677,77.0,0.629,80.9,0.629,53.9,0.69
imagenet,$\ell_1$,E,Foolbox,\hornetwrap{BIM},85.7,0.663,75.6,0.617,79.5,0.615,53.3,0.672
imagenet,$\ell_1$,E,ART,\hornetwrap{BIM},45.8,0.461,44.3,0.462,45.8,0.455,27.0,0.511
imagenet,$\ell_0$,I1,Original,\hornetwrap{PGD$_0$},98.1,1.0,67.0,1.0,64.4,1.0,41.4,1.0
imagenet,$\ell_0$,I2,Original,\hornetwrap{PGD$_0$},62.0,1.0,95.3,1.0,71.2,1.0,46.2,1.0
imagenet,$\ell_0$,I3,Original,\hornetwrap{PGD$_0$},61.0,1.0,72.4,1.0,95.0,1.0,45.1,1.0
imagenet,$\ell_0$,I4,Original,\hornetwrap{PGD$_0$},66.4,1.0,73.0,1.0,74.5,1.0,90.9,1.0
imagenet,$\ell_0$,E,Original,\hornetwrap{PGD$_0$},71.2,1.0,77.6,1.0,77.2,1.0,48.9,1.0
imagenet,$\ell_\infty$,I1,ART,\hornetwrap{FGM},100.0,0.827,100.0,0.991,100.0,0.985,100.0,0.986
imagenet,$\ell_\infty$,I1,CleverHans,\hornetwrap{FGM},100.0,0.827,100.0,0.991,100.0,0.985,100.0,0.986
imagenet,$\ell_\infty$,I1,CleverHans,\hornetwrap{PGD},100.0,0.894,100.0,0.983,100.0,0.984,100.0,0.978
imagenet,$\ell_\infty$,I1,Original,\hornetwrap{FGSM$_ga-tdmi$},100.0,0.0,98.5,0.953,97.9,0.973,93.7,0.931
imagenet,$\ell_\infty$,I1,Original,\hornetwrap{FGSM$_ga-dmi$},100.0,0.0,98.2,0.936,97.5,0.951,92.3,0.88
imagenet,$\ell_\infty$,I1,ART,\hornetwrap{BIM},100.0,0.894,100.0,0.893,100.0,0.885,100.0,0.846
imagenet,$\ell_\infty$,I1,ART,\hornetwrap{PGD},100.0,0.894,100.0,0.893,100.0,0.884,100.0,0.843
imagenet,$\ell_\infty$,I1,Original,\hornetwrap{APGD},100.0,1.0,100.0,0.844,100.0,0.835,100.0,0.81
imagenet,$\ell_\infty$,I2,Original,\hornetwrap{APGD},100.0,0.963,100.0,1.0,100.0,0.984,100.0,0.981
imagenet,$\ell_\infty$,I2,ART,\hornetwrap{BIM},100.0,0.923,100.0,0.964,100.0,0.946,100.0,0.945
imagenet,$\ell_\infty$,I2,ART,\hornetwrap{PGD},100.0,0.922,100.0,0.963,100.0,0.944,100.0,0.943
imagenet,$\ell_\infty$,I2,CleverHans,\hornetwrap{PGD},100.0,0.891,100.0,0.955,100.0,0.878,100.0,0.863
imagenet,$\ell_\infty$,I2,ART,\hornetwrap{FGM},99.9,0.826,100.0,0.853,100.0,0.846,99.6,0.81
imagenet,$\ell_\infty$,I2,CleverHans,\hornetwrap{FGM},99.9,0.826,100.0,0.853,100.0,0.846,99.6,0.81
imagenet,$\ell_\infty$,I2,Original,\hornetwrap{FGSM$_ga-dmi$},99.9,0.0,100.0,0.0,99.9,0.0,99.8,0.0
imagenet,$\ell_\infty$,I2,Original,\hornetwrap{FGSM$_ga-tdmi$},100.0,0.0,100.0,0.0,100.0,0.0,99.6,0.0
imagenet,$\ell_\infty$,I3,Original,\hornetwrap{APGD},100.0,0.97,100.0,0.981,100.0,0.999,100.0,0.986
imagenet,$\ell_\infty$,I3,ART,\hornetwrap{BIM},100.0,0.943,100.0,0.957,100.0,0.966,100.0,0.952
imagenet,$\ell_\infty$,I3,ART,\hornetwrap{PGD},100.0,0.94,100.0,0.957,100.0,0.964,100.0,0.95
imagenet,$\ell_\infty$,I3,CleverHans,\hornetwrap{PGD},100.0,0.924,100.0,0.93,100.0,0.955,100.0,0.9
imagenet,$\ell_\infty$,I3,ART,\hornetwrap{FGM},99.9,0.787,99.9,0.829,99.9,0.794,99.4,0.776
